fire_id,anchor_event_type,anchor_observation_index,lag_observations,lag_days,activity_value,developmental_state,tmmx_c,tmmx_c_z_within_fire,tmmx_c_change,tmmn_c,tmmn_c_z_within_fire,tmmn_c_change,vpd_kpa,vpd_kpa_z_within_fire,vpd_kpa_change,wind_speed_m_s,wind_speed_m_s_z_within_fire,wind_speed_m_s_change
6833,terminal observed record,12,-1,-1.0,0.2146586732968637,quiescence,26.150000000000034,-1.18359659550917,0.0,5.050000000000011,-2.1581230234248023,-2.8000000000000114,1.69,-1.4765801023114142,-0.050000000000000044,3.3000000000000003,0.11780205622927703,-0.6000000000000001
6833,terminal observed record,12,0,0.0,0.2146586732968637,quiescence,24.450000000000045,-2.02467327591922,-1.6999999999999886,7.4500000000000455,-1.1222239721808842,2.400000000000034,1.6600000000000001,-1.6098824726589716,-0.029999999999999805,4.7,2.261799479602114,1.4
6991,first observed perimeter,0,0,0.0,0.2146586732968637,low activity,31.05000000000001,1.0986742547608288,,16.850000000000023,1.6317571046109725,,2.13,1.1202381234783514,,3.6,0.02075987864640837,
6991,first observed perimeter,0,1,1.0,0.6439760198905912,low activity,31.75,1.2067405749012365,0.6999999999999886,14.150000000000034,1.012682980613369,-2.6999999999999886,2.22,1.2371325363630494,0.0900000000000003,2.4000000000000004,-0.975714296381179,-1.1999999999999997
6991,first observed perimeter,0,2,2.0,1.0732933664843187,low activity,31.450000000000045,1.160426437698211,-0.2999999999999545,14.850000000000023,1.1731836794275605,0.6999999999999886,2.22,1.2371325363630494,0.0,2.5,-0.8926747817955469,0.09999999999999964
6991,first observed perimeter,0,3,3.0,3.649197446046683,active expansion,32.150000000000034,1.2684927578386187,0.6999999999999886,14.350000000000023,1.0585403231317077,-0.5,2.27,1.3020738768545477,0.04999999999999982,2.0,-1.3078723547237086,-0.5
6991,expansion pulse,4,-3,-3.0,0.6439760198905912,low activity,31.75,1.2067405749012365,0.6999999999999886,14.150000000000034,1.012682980613369,-2.6999999999999886,2.22,1.2371325363630494,0.0900000000000003,2.4000000000000004,-0.975714296381179,-1.1999999999999997
6991,expansion pulse,4,-2,-2.0,1.0732933664843187,low activity,31.450000000000045,1.160426437698211,-0.2999999999999545,14.850000000000023,1.1731836794275605,0.6999999999999886,2.22,1.2371325363630494,0.0,2.5,-0.8926747817955469,0.09999999999999964
6991,expansion pulse,4,-1,-1.0,3.649197446046683,active expansion,32.150000000000034,1.2684927578386187,0.6999999999999886,14.350000000000023,1.0585403231317077,-0.5,2.27,1.3020738768545477,0.04999999999999982,2.0,-1.3078723547237086,-0.5
6991,expansion pulse,4,0,0.0,3.863856119343547,active expansion,25.950000000000045,0.3113339223092788,-6.199999999999989,10.850000000000023,0.25603682906073677,-3.5,1.33,0.08117667561437304,-0.94,4.800000000000001,1.0172340536739963,2.8000000000000007
