fire_id,final_area_km2,observation_count,observed_duration_days,candidate_event_window_days,number_of_active_observations,active_fraction,peak_expansion_magnitude_km2,timing_of_peak_expansion_relative_age,final_meaningful_expansion_relative_age,number_of_expansion_pulses,pulse_prominence_km2,pulse_duration_observations,median_inter_pulse_interval_observations,amount_of_growth_in_largest_pulse_km2,fraction_final_area_accumulated_before_peak,fraction_final_area_accumulated_during_largest_pulse,fraction_final_area_accumulated_after_final_major_pulse,quiescent_persistence_observations,reactivation_count,terminal_taper_fraction_of_peak,growth_asymmetry_decline_minus_rise_km2,geometric_trajectory_length_km2,space_time_volume_km2_days,maximum_vase_width_km,mean_compactness,max_gap_days,terminal_observed_record_lag_after_final_meaningful_expansion_observations,terminal_observed_record_lag_after_final_meaningful_expansion_days,selected_profile
26194,1.9319280596717732,5,7.0,8,5,1.0,0.6439760198905912,0.14285714285714285,1.0,3,0.42931734659372744,3,1.5,0.6439760198905912,1.0,0.33333333333333337,0.0,0,0,0.3333333333333333,0.0,0.8586346931874549,13.523496417702411,1.3919381495844574,0.6648971658575029,3,0,0.0,Profile B
26404,2.7905627528592283,7,7.0,8,3,0.42857142857142855,1.0732933664843187,0.5714285714285714,0.5714285714285714,2,0.858634693187455,2,2.0,1.0732933664843187,1.0,0.3846153846153847,0.0,3,0,0.19999999999999996,0.0,1.71726938637491,19.533939270014596,1.3919381495844574,0.6506626723394816,2,3,3.0,Profile B
26850,9.87429897165573,7,8.0,9,6,0.8571428571428571,2.361245406265501,0.75,1.0,4,0.6439760198905915,4,2.0,2.361245406265501,1.0,0.23913043478260876,0.0,0,0,0.909090909090909,-0.42931734659372744,6.439760198905912,78.99439177324584,7.415003464451059,0.2926200679367188,2,0,0.0,Profile B
27616,2.7905627528592283,7,9.0,10,7,1.0,0.8586346931874548,1.0,1.0,3,0.6439760198905911,3,3.0,0.8586346931874548,1.0,0.30769230769230765,0.0,0,0,1.0,-0.6439760198905911,1.0732933664843185,25.115064775733053,1.855250866112765,0.5792285962954284,3,0,0.0,Profile B
28061,6.010442852312184,5,6.0,7,1,0.2,3.649197446046683,0.0,0.0,1,3.005221426156092,1,,3.649197446046683,1.0,0.6071428571428572,0.0,4,0,0.1176470588235294,3.219880099452956,3.2198800994529555,36.0626571138731,4.171814448755234,0.3698621894145358,2,4,6.0,Profile B
29029,3.2198800994529555,8,10.0,11,4,0.5,1.0732933664843187,0.3,0.7,3,0.7513053565390232,3,2.5,1.0732933664843187,1.0,0.3333333333333334,0.0,2,0,0.19999999999999996,0.21465867329686372,1.9319280596717734,32.19880099452955,1.391938149584923,0.656658815330569,2,2,3.0,Profile B
29044,3.434538772749819,5,7.0,8,4,0.8,1.502610713078046,0.7142857142857143,0.7142857142857143,2,1.0732933664843185,2,3.0,1.502610713078046,1.0,0.4375,0.0,1,0,0.14285714285714285,0.6439760198905912,2.7905627528592283,24.041771409248735,2.7818762991689145,0.4342230198289182,3,1,2.0,Profile B
29124,4.293173465937275,8,8.0,9,6,0.75,1.0732933664843187,0.0,0.75,4,0.6439760198905913,4,2.0,1.0732933664843187,1.0,0.25,0.0,2,0,0.19999999999999996,0.858634693187455,2.1465867329686374,34.3453877274982,2.7818762991679833,0.4640286980834045,2,2,2.0,Profile B
29159,3.434538772749819,7,6.0,7,3,0.42857142857142855,1.2879520397811823,0.5,0.6666666666666666,1,1.0732933664843187,1,,1.2879520397811823,1.0,0.37500000000000006,0.0,2,0,0.16666666666666666,0.0,2.146586732968637,20.607232636498914,1.8552508661122993,0.6319013971753569,1,2,2.0,Profile B
29217,1.502610713078046,6,11.0,12,6,1.0,0.4293173465937274,0.09090909090909091,1.0,4,0.2146586732968637,4,1.0,0.4293173465937274,1.0,0.2857142857142857,0.0,0,0,0.5,0.0,0.4293173465937274,16.528717843858505,0.9286254330566153,0.7709371055425164,5,0,0.0,Profile B
29502,1.9319280596717732,5,7.0,8,5,1.0,0.8586346931874548,0.42857142857142855,1.0,2,0.6439760198905911,2,2.0,0.8586346931874548,1.0,0.4444444444444445,0.0,0,0,0.25,0.0,1.2879520397811821,13.523496417702413,1.8552508661122993,0.6808284429188259,2,0,0.0,Profile B
30404,5.366466832421592,7,8.0,9,3,0.42857142857142855,2.5759040795623647,0.375,1.0,3,2.1465867329686374,3,2.0,2.5759040795623647,1.0,0.4800000000000001,0.0,0,0,0.25,-0.42931734659372767,5.151808159124729,42.93173465937274,4.635127165279351,0.38308851527455456,2,0,0.0,Profile B
30560,7.727712238687094,10,10.0,11,5,0.5,2.146586732968637,0.4,0.6,3,1.6099400497264778,3,2.5,2.146586732968637,1.0,0.2777777777777778,0.0,4,0,0.09999999999999999,1.502610713078046,6.6544188722027755,77.27712238687091,3.7085017322245983,0.5373012968545813,2,4,4.0,Profile B
30957,3.2198800994529555,6,10.0,11,4,0.6666666666666666,1.0732933664843187,0.7,0.7,2,0.5366466832421595,2,2.0,1.0732933664843187,1.0,0.3333333333333334,0.0,2,0,0.19999999999999996,0.21465867329686372,1.5026107130780462,32.198800994529556,2.318563582640141,0.4872198421359261,5,2,3.0,Profile B
31297,3.863856119343547,5,12.0,13,3,0.6,1.502610713078046,0.75,0.75,2,0.6439760198905912,2,3.0,1.502610713078046,1.0,0.3888888888888889,0.0,1,0,0.14285714285714285,0.8586346931874551,3.4345387727498196,46.36627343212256,3.2451890156958254,0.5400564717346539,5,1,3.0,Profile B
31670,3.005221426156092,6,12.0,13,6,1.0,0.8586346931874548,0.0,1.0,4,0.42931734659372733,4,1.0,0.8586346931874548,1.0,0.2857142857142857,0.0,0,0,0.25,0.6439760198905911,0.6439760198905911,36.0626571138731,3.2451890156958254,0.5410475442812223,5,0,0.0,Profile B
31673,229.25546308105044,24,31.0,32,7,0.2916666666666667,41.85844129288842,0.6451612903225806,0.8064516129032258,3,39.175207876677625,3,4.0,41.85844129288842,1.0,0.18258426966292135,0.0,5,0,0.010256410256410256,-0.21465867329686006,221.3130921690665,7106.919355512559,34.75045373959467,0.2029941742143857,3,5,6.0,Profile A
31691,4.507832139234138,5,7.0,8,4,0.8,1.7172693863749096,1.0,1.0,2,0.6439760198905908,2,3.0,1.7172693863749096,1.0,0.38095238095238093,0.0,0,0,1.0,-1.2879520397811821,3.005221426156092,31.55482497463896,2.7818762991689145,0.37553452094841194,4,0,0.0,Profile B
32685,26.83233416210796,7,8.0,9,4,0.5714285714285714,6.654418872202775,0.125,0.875,2,2.146586732968637,2,3.0,6.654418872202775,1.0,0.24800000000000003,0.0,1,0,0.06451612903225806,4.07851479264041,18.67530457682714,214.6586732968637,6.0250653148638085,0.21546651541942913,2,1,1.0,Profile B
32709,24.2564300825456,9,12.0,13,4,0.4444444444444444,8.15702958528082,0.25,0.5,2,6.654418872202775,2,2.0,8.15702958528082,1.0,0.336283185840708,0.0,5,0,0.02631578947368421,3.0052214261560923,16.74337651715537,291.07716099054716,10.194879763614386,0.40863987685975456,3,5,6.0,Profile B
32993,22.324502022873823,6,6.0,7,4,0.6666666666666666,8.15702958528082,0.16666666666666666,0.8333333333333334,2,5.25913749577316,2,3.0,8.15702958528082,1.0,0.3653846153846154,0.0,1,0,0.18421052631578946,4.07851479264041,13.094179071108684,133.94701213724295,8.804941614031792,0.17756846037935933,2,1,1.0,Profile B
33271,3.2198800994529555,7,9.0,10,7,1.0,0.8586346931874548,0.5555555555555556,1.0,4,0.4293173465937274,4,2.0,0.8586346931874548,1.0,0.26666666666666666,0.0,0,0,0.5,0.21465867329686378,1.9319280596717732,28.978920895076598,2.318563582640141,0.5840675446087614,3,0,0.0,Profile B
33331,13.094179071108686,7,8.0,9,3,0.42857142857142855,5.581125505718457,0.5,0.75,1,5.151808159124729,1,,5.581125505718457,1.0,0.42622950819672134,0.0,1,0,0.03846153846153846,0.2146586732968636,10.94759233814005,104.75343256886948,8.804941614029929,0.44723603692008285,2,1,2.0,Profile B
33593,6.010442852312184,11,12.0,13,8,0.7272727272727273,1.0732933664843187,0.25,1.0,4,0.6439760198905913,4,2.0,1.0732933664843187,1.0,0.1785714285714286,0.0,0,0,0.3999999999999999,-0.21465867329686372,3.649197446046684,72.1253142277462,3.2451890156967567,0.4833501539589582,2,0,0.0,Profile B
38924,3.649197446046683,6,7.0,8,5,0.8333333333333334,1.2879520397811823,0.0,0.7142857142857143,3,0.8586346931874549,3,2.0,1.2879520397811823,1.0,0.35294117647058826,0.0,1,0,0.16666666666666666,1.0732933664843187,1.0732933664843185,25.544382122326784,3.2451890156939625,0.4679363100723872,2,1,2.0,Profile B
39850,1.0732933664843187,5,6.0,7,5,1.0,0.2146586732968637,0.0,1.0,5,0.0,5,1.0,0.2146586732968637,1.0,0.19999999999999996,0.0,0,0,1.0,0.0,0.0,6.439760198905913,0.4653127165287733,0.7853981633974483,3,0,0.0,Profile B
40296,7.083736218796503,5,6.0,7,3,0.6,3.434538772749819,0.3333333333333333,0.5,1,2.5759040795623642,1,,3.434538772749819,1.0,0.4848484848484848,0.0,2,0,0.0625,0.6439760198905913,5.795784179015319,42.502417312779016,3.2451890156967567,0.3685671959846611,2,2,3.0,Profile B
40467,3.434538772749819,6,9.0,10,3,0.5,1.7172693863749096,0.0,1.0,2,1.395281376429614,2,4.0,1.7172693863749096,1.0,0.5,0.0,0,0,0.25,1.2879520397811821,2.146586732968637,30.91084895474837,2.3185635826410724,0.6083296717729031,4,0,0.0,Profile B
40617,1.2879520397811823,5,8.0,9,5,1.0,0.4293173465937274,1.0,1.0,4,0.2146586732968637,4,1.0,0.4293173465937274,1.0,0.3333333333333333,0.0,0,0,1.0,-0.2146586732968637,0.2146586732968637,10.303616318249459,1.3919381495844574,0.7068583470577035,3,0,0.0,Profile B
40770,4.722490812531002,8,11.0,12,4,0.5,1.502610713078046,0.7272727272727273,0.7272727272727273,1,1.1806227031327503,1,,1.502610713078046,1.0,0.3181818181818181,0.0,3,0,0.14285714285714285,0.0,2.5759040795623642,51.94739893784101,1.8552508661132305,0.5944465026295368,3,3,3.0,Profile B
42326,4.07851479264041,5,6.0,7,3,0.6,2.146586732968637,0.16666666666666666,0.5,2,1.5026107130780457,2,2.0,2.146586732968637,1.0,0.5263157894736842,0.0,1,0,0.09999999999999999,0.6439760198905913,4.07851479264041,24.471088755842462,2.7818762991689145,0.4967799656780909,3,1,3.0,Profile B
44216,2.361245406265501,5,9.0,10,1,0.2,1.502610713078046,0.6666666666666666,0.6666666666666666,3,1.2879520397811823,3,1.5,1.502610713078046,1.0,0.6363636363636362,0.0,1,0,0.14285714285714285,0.0,2.5759040795623647,21.251208656389508,2.3185635826410724,0.697231269425916,3,1,3.0,Profile B
44363,5.79578417901532,11,19.0,20,7,0.6363636363636364,1.0732933664843187,0.21052631578947367,0.6842105263157895,4,0.6439760198905913,4,3.0,1.0732933664843187,1.0,0.1851851851851852,0.0,2,0,0.19999999999999996,0.42931734659372744,3.8638561193435477,110.1198994012911,3.2451890156958254,0.5499504266689456,4,2,6.0,Profile B
44919,2.7905627528592283,5,6.0,7,3,0.6,1.502610713078046,0.5,0.8333333333333334,1,1.0732933664843185,1,,1.502610713078046,1.0,0.5384615384615384,0.0,1,0,0.14285714285714285,0.0,2.5759040795623642,16.74337651715537,4.171814448753372,0.508000977775441,2,1,1.0,Profile B
45060,58.60181781004379,22,28.0,29,4,0.18181818181818182,19.74859794331146,0.6071428571428571,0.6428571428571429,3,18.67530457682714,3,3.0,19.74859794331146,1.0,0.33699633699633696,0.0,5,0,0.010869565217391304,1.073293366484318,50.87410557135669,1640.850898681226,13.901381495838985,0.30254904833107177,4,5,10.0,Profile B
