kind,fold,stage,feature,center,scale,train_n,pc1_loading,pc1_evr
random_fire,3,outcome_pca,allocation_18,0.0387357724681,0.0282742598366,7428,0.306250237409,0.342140274076
random_fire,3,outcome_pca,allocation_19,0.0386908270494,0.0283345760108,7428,0.305800403787,0.342140274076
random_fire,3,core_means,mean_maximum_temperature_c,25.605378344,7.31678157166,7428,,
random_fire,3,core_means,mean_minimum_temperature_c,10.1360425796,7.37198840431,7428,,
random_fire,3,core_means,mean_vpd_kpa,1.34815147565,0.743431990271,7428,,
random_fire,3,core_means,mean_wind_speed_m_s,3.93614829646,1.27033447958,7428,,
random_fire,3,max_vpd_only,max_vpd,1.63308292946,0.848213381061,7428,,
random_fire,3,core_plus_max,mean_maximum_temperature_c,25.605378344,7.31678157166,7428,,
random_fire,3,core_plus_max,mean_minimum_temperature_c,10.1360425796,7.37198840431,7428,,
random_fire,3,core_plus_max,mean_vpd_kpa,1.34815147565,0.743431990271,7428,,
random_fire,3,core_plus_max,mean_wind_speed_m_s,3.93614829646,1.27033447958,7428,,
