kind,predictor_set,stratum,value,n,r2,delta_r2,resampling,groups,r2_low,r2_high,delta_low,delta_high
region_block,mean_only,region,west,22998,-0.14633826125,-0.631002048246,fire_id,6154,-0.165552912817,-0.124335181744,-0.667423573274,-0.591852511748
region_block,mean_only,season,DJF,12759,-0.286271830263,-0.420178205462,fire_id,5237,-0.341477710537,-0.230115871183,-0.47126095136,-0.382779133249
region_block,mean_only,season,JJA,29913,-0.118355591052,-0.614107163728,fire_id,8208,-0.131042485098,-0.103430081696,-0.638021168232,-0.580339965966
region_block,mean_only,season,MAM,20363,-0.0348944801106,-0.3851289784,fire_id,8398,-0.0397533121282,-0.0314188184541,-0.421118483676,-0.341103910676
region_block,mean_only,season,SON,24909,-0.195331413313,-0.562286736736,fire_id,9857,-0.237946115355,-0.166754568682,-0.584447655643,-0.539527428898
region_block,mean_only,size_class,"(0.0, 1.0]",1947,-108.49544554,-100.970686305,fire_id,1838,-118.597778913,-100.199948185,-110.10122543,-93.3965130317
region_block,mean_only,size_class,"(1.0, 10.0]",46640,-1.27868199836,-1.01634832095,fire_id,23072,-1.31464827421,-1.2337273232,-1.04964145173,-0.980341176146
region_block,mean_only,size_class,"(10.0, 100.0]",31106,-0.130265372878,-0.204307365728,fire_id,6160,-0.138623664538,-0.120499176867,-0.222118994129,-0.185640530128
region_block,mean_only,size_class,"(100.0, 1000.0]",7652,-1.07442477489,-1.34624169268,fire_id,599,-1.15666893669,-1.00298585405,-1.42307009072,-1.28366834996
region_block,mean_only,size_class,"(1000.0, inf]",599,-2.15449417091,-2.46316723427,fire_id,31,-2.92881302595,-1.66452427136,-3.16045278188,-1.99809851575
region_block,mean_only,observation_quality,consecutive_history,21677,-0.05091231915,-0.508035559364,fire_id,9212,-0.0547008280336,-0.0483993759437,-0.538221347158,-0.476868785571
region_block,mean_only,observation_quality,history_has_gaps,66267,-0.0651075350018,-0.508823868281,fire_id,22488,-0.0685941652666,-0.0620807059926,-0.532103817934,-0.486860735884
region_block,persistence,region,central,24323,-0.188567423788,-0.332343406855,fire_id,10105,-0.25197153346,-0.142183475592,-0.356948979452,-0.314987457271
region_block,persistence,region,east,17224,0.0671709020039,-0.238365590687,fire_id,6575,-0.0645382966263,0.232924562147,-0.286212486205,-0.177098335141
region_block,persistence,region,intermountain,23399,0.212230455131,-0.187332919866,fire_id,8866,0.160663665972,0.259660014901,-0.209066490241,-0.167198561241
region_block,persistence,region,west,22998,0.403948738495,-0.0807150485015,fire_id,6154,0.364036026759,0.447824318929,-0.103212834252,-0.0618517719334
region_block,persistence,season,DJF,12759,-0.217028329743,-0.350934704941,fire_id,5237,-0.326914383829,-0.077654603983,-0.401545772937,-0.292302699975
region_block,persistence,season,JJA,29913,0.407056414568,-0.0886951581075,fire_id,8208,0.362373782097,0.437235311956,-0.108510822198,-0.0744849163834
region_block,persistence,season,MAM,20363,0.127028740213,-0.223205758076,fire_id,8398,0.0586692521612,0.185663685447,-0.249908594153,-0.19759540742
region_block,persistence,season,SON,24909,0.172959621306,-0.193995702117,fire_id,9857,0.0993506506339,0.243463505904,-0.227440917739,-0.166306386691
region_block,persistence,size_class,"(0.0, 1.0]",1947,-1.52534641908,5.99941281517,fire_id,1838,-1.72252531205,-1.34654326612,5.38061323923,6.74584272338
