null,rep,n,pc1,first_five,effective_dimension,hull_fill,occupied_fraction
within_fire_permutation,93,4000,0.300664879021,0.863267752017,5.06836006189,0.848496837516,0.8125
dirichlet_1,93,4000,0.357874297314,0.906476475505,4.08419573385,0.74817671816,0.7475
dirichlet_10,93,4000,0.361483768154,0.908503662327,4.02166790807,0.969563984668,0.955
within_fire_permutation,94,4000,0.2975994687,0.862915788203,5.07865436879,0.810611127806,0.77
dirichlet_1,94,4000,0.351702841464,0.901862033945,4.15727016036,0.767837295396,0.755
dirichlet_10,94,4000,0.364250396413,0.910933526238,4.00099807139,0.987849652344,0.9125
within_fire_permutation,95,4000,0.304926078709,0.862476771945,5.03903057154,0.829430109558,0.7975
dirichlet_1,95,4000,0.361606637735,0.901697518658,4.11069340024,0.761629106146,0.765
dirichlet_10,95,4000,0.366282499416,0.911203353662,3.97598732408,0.983619799093,0.92
within_fire_permutation,96,4000,0.307330162048,0.865912829784,4.99332235519,0.839813374419,0.815
dirichlet_1,96,4000,0.355587896779,0.902645915839,4.1215140521,0.757723846532,0.7575
dirichlet_10,96,4000,0.359085170614,0.909968241792,4.005489278,0.97459129857,0.92
within_fire_permutation,97,4000,0.302509195713,0.862083740933,5.06770035432,0.865255898402,0.8075
dirichlet_1,97,4000,0.353428973612,0.903665589372,4.11991560518,0.760255116004,0.7625
dirichlet_10,97,4000,0.355775272315,0.906431755327,4.03765456938,0.991269321974,0.9425
within_fire_permutation,98,4000,0.303813648908,0.85802717729,5.08644258975,0.8395859859,0.805
dirichlet_1,98,4000,0.358779318917,0.906724530797,4.0821509535,0.754335968735,0.755
dirichlet_10,98,4000,0.36472228506,0.911462358459,3.95125631749,0.976662069908,0.935
within_fire_permutation,99,4000,0.303106422036,0.86082448952,5.07642233475,0.840709097634,0.82
dirichlet_1,99,4000,0.353708015237,0.906074924964,4.10239759627,0.749320416813,0.755
dirichlet_10,99,4000,0.368530844117,0.910764987916,3.94488748296,0.972919464962,0.92
